Location,Posterior Probability,Normalized Entropy
545.0,0.914,0.05246974601413873
765.0,0.174,0.42782176322827575
916.0,0.304,0.32477829567110506
1064.0,0.472,0.21449577829844257
1170.0,0.372,0.35753821382155915
